,Distance,Ordre,Temps,Performance,Metric
0,Cosine,comb_d_u,304.8416049480438,55.800000000000004,by_order
2,Cosine,comb_u_d,306.5659849643707,61.6,by_order
4,Cosine,distance,308.105126619339,42.6,by_order
6,Cosine,unigram,302.205518245697,61.6,by_order
8,Damerau_Levenshtein,comb_d_u,1529.7534489631653,80.0,by_order
10,Damerau_Levenshtein,distance,1472.3099420070648,65.2,by_order
12,Damerau_Levenshtein,unigram,1512.2559478282928,39.4,by_order
14,Hamming,comb_d_u,211.12742233276367,46.2,by_order
16,Hamming,comb_u_d,205.60984063148499,33.4,by_order
18,Hamming,distance,211.38581037521362,34.0,by_order
20,Hamming,unigram,206.24582052230835,33.4,by_order
22,Jaccard,comb_d_u,376.28254866600037,55.800000000000004,by_order
24,Jaccard,comb_u_d,372.49680352211,61.6,by_order
26,Jaccard,distance,380.29848551750183,42.6,by_order
28,Jaccard,unigram,363.224161863327,61.6,by_order
30,Jaro_Winkler,comb_d_u,240.27909994125366,68.60000000000001,by_order
32,Jaro_Winkler,comb_u_d,236.72495365142822,70.8,by_order
34,Jaro_Winkler,distance,233.48200511932373,66.60000000000001,by_order
36,Jaro_Winkler,unigram,238.37983798980713,70.8,by_order
38,LCSS,comb_d_u,177.15038466453552,34.8,by_order
40,LCSS,comb_u_d,180.4645369052887,21.2,by_order
42,LCSS,distance,181.85923862457275,16.2,by_order
44,LCSS,unigram,183.58272123336792,21.2,by_order
46,Levenshtein,comb_d_u,3635.8080825805664,77.4,by_order
48,Levenshtein,comb_u_d,3149.509541273117,36.199999999999996,by_order
50,Levenshtein,distance,2997.4295461177826,59.0,by_order
52,Levenshtein,unigram,3320.488574028015,36.199999999999996,by_order
54,Needleman_Wunsch,comb_d_u,4544.872893810272,73.2,by_order
56,Needleman_Wunsch,comb_u_d,4541.740578889847,49.4,by_order
58,Needleman_Wunsch,distance,5421.009654998779,55.60000000000001,by_order
60,Needleman_Wunsch,unigram,4514.453169107437,49.4,by_order
62,Soundex,comb_d_u,564.2097272872925,24.2,by_order
64,Soundex,comb_u_d,458.3666880130768,24.2,by_order
66,Soundex,distance,535.4341187477112,2.0,by_order
68,Soundex,unigram,543.4696025848389,22.857142857142858,by_order
